"",Unnamed: 0,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,profit\\r
7490,7490,14113,Zoom,2006-08-11,"['Family', 'Comedy', 'Adventure', 'Action', 'Science Fiction']",English,5.4,547,14.606,"Jack Shepard is an out-of-shape auto shop owner, far removed from the man who once protected the world's freedom. Reluctantly called back into action by the government, Jack is tasked with turning...",75600000,"['Revolution Studios', 'Team Todd', 'Boxing Cat Films', 'Columbia Pictures', 'Sony Pictures']",12506188,83,They're going to save the world... as long as they're home for dinner.,-63093812
7491,7491,2539,Spanglish,2004-12-17,['Comedy'],English,6.0,1155,14.606,"Mexican immigrant and single mother Flor Moreno finds housekeeping work with Deborah and John Clasky, a well-off couple with two children of their own. When Flor admits she can't handle the schedu...",80000000,"['Gracie Films', 'Columbia Pictures']",55041367,130,Every family has a hero.,-24958633
7494,7494,11624,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,1972-08-06,['Comedy'],English,6.6,804,14.603,"A collection of seven vignettes, which each address a question concerning human sexuality. From aphrodisiacs to sexual perversion to the mystery of the male orgasm, characters like a court jester,...",2000000,['United Artists'],18016290,88,You haven't seen anything until you've seen everything,16016290
7495,7495,9975,Curious George,2006-02-10,"['Adventure', 'Animation', 'Comedy', 'Family']",English,6.4,452,14.602,"When The Man in the Yellow Hat befriends Curious George in the jungle, they set off on a non-stop, fun-filled journey through the wonders of the big city toward the warmth of true friendship.",50000000,"['Universal Pictures', 'Imagine Entertainment']",69834815,87,Show me the Monkey!,19834815
7496,7496,156700,The Kings of Summer,2013-01-19,"['Comedy', 'Drama']",English,7.0,1015,14.600,"Joe Toy, on the verge of adolescence, finds himself increasingly frustrated by his single father, Frank's attempts to manage his life. Declaring his freedom once and for all, he escapes to a clear...",1500000,"['Low Spark Films', 'Big Beach']",1400000,93,Why live when you can rule.,-100000
7498,7498,492452,Ben Is Back,2018-12-05,['Drama'],English,6.7,841,14.599,"19-year-old Ben Burns unexpectedly returns home to his family's suburban home on Christmas Eve morning. Ben's mother, Holly, is relieved and welcoming but wary of her son staying clean. Over a tur...",13000000,"['Black Bear Pictures', 'Color Force', '30WEST', 'Sierra/Affinity']",12616995,103,One family. One day.,-383005
7500,7500,9882,The Siege,1998-11-06,"['Drama', 'Action', 'Thriller', 'Crime']",English,6.3,1159,14.599,The secret US abduction of a suspected terrorist from his Middle East homeland leads to a wave of terrorist attacks in New York.  An FBI senior agent and his team attempt to locate and decommissio...,70000000,"['Lynda Obst Productions', '20th Century Fox', 'Bedford Falls Productions']",116672912,116,On November 6th our freedom is history,46672912
7503,7503,8852,Prince of Darkness,1987-10-23,['Horror'],English,6.8,841,14.598,"A research team finds a mysterious cylinder in a deserted church. If opened, it could mean the end of the world.",3000000,"['Universal Pictures', 'Alive Films', 'Larry Franco Productions', 'Carolco Pictures']",14182492,101,Before man walked the earth... it slept for centuries. It is evil. It is real. It is awakening.,11182492
7506,7506,4517,Elizabeth: The Golden Age,2007-09-09,"['Drama', 'History', 'Romance']",English,6.7,1111,14.596,"When Queen Elizabeth's reign is threatened by ruthless familial betrayal and Spain's invading army, she and her shrewd adviser must act to safeguard the lives of her people.",55000000,"['Universal Pictures', 'StudioCanal', 'Working Title Films']",74237563,114,Woman. Warrior. Queen.,19237563
7508,7508,282813,The Pyramid,2014-12-04,['Horror'],English,5.2,907,14.595,An archaeological team attempt to unlock the secrets of a lost pyramid only to find themselves hunted by an insidious creature.,6500000,"['Silvatar Media', 'Fox International Productions', 'Sahara Productions']",16861137,89,You Only Enter Once.,10361137
7512,7512,11843,The Return of the Pink Panther,1975-05-21,"['Mystery', 'Comedy', 'Crime']",English,6.8,512,14.586,The famous Pink Panther jewel has once again been stolen and Inspector Clouseau is called in to catch the thief. The Inspector is convinced that 'The Phantom' has returned and utilises all of his ...,5000000,"['United Artists', 'Jewel Productions', 'Pimlico Films', 'ITC Entertainment']",41833347,113,NaN,36833347
7513,7513,2900,The Astronaut's Wife,1999-08-27,"['Drama', 'Science Fiction', 'Thriller']",English,5.6,814,14.585,"When astronaut Spencer Armacost returns to Earth after a mission that nearly cost him his life, he decides to take a desk job in order to see his beautiful wife, Jillian, more often. Gradually, Ji...",75000000,"['New Line Cinema', 'Mad Chance']",19598588,109,How well do you know the one you love?,-55401412
7514,7514,582,The Lives of Others,2006-03-15,"['Drama', 'Thriller']",German,8.0,3232,14.585,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",2000000,"['Creado Film', 'Wiedemann & Berg Film', 'ARD', 'Sony Pictures Classics', 'ARTE', 'Buena Vista International (Germany) GmbH', 'Beta Cinema']",70000000,137,"Before the Fall of the Berlin Wall, East Germany's Secret Police Listened to Your Secrets.",68000000
7523,7523,9787,Lords of Dogtown,2005-06-03,['Drama'],English,7.1,660,14.571,"The radical true story behind three teenage surfers from Venice Beach, California, who took skateboarding to the extreme and changed the world of sports forever. Stacy Peralta, Tony Alva and Jay A...",25000000,"['Columbia Pictures', 'The Linson Company', 'Indelible Pictures', 'Senator International', 'TriStar Pictures']",13411957,107,They came from nothing to change everything.,-11588043
7530,7530,913,The Thomas Crown Affair,1999-08-06,"['Drama', 'Crime', 'Romance']",English,6.7,1011,14.562,"A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.",48000000,"['Irish Dreamtime', 'Metro-Goldwyn-Mayer']",124305181,113,How do you get the man who has everything?,76305181
7532,7532,9621,Elizabethtown,2005-10-14,"['Comedy', 'Drama', 'Romance']",English,6.2,976,14.560,"Drew Baylor is fired after causing his shoe company to lose hundreds of millions of dollars. To make matters worse, he's also dumped by his girlfriend. On the verge of ending it all, Drew gets a n...",57000000,"['Paramount', 'Cruise/Wagner Productions', 'Vinyl Films', 'KMP Film Invest']",52164016,123,It's a heck of a place to find yourself,-4835984
7534,7534,9801,Bridget Jones: The Edge of Reason,2004-11-10,"['Comedy', 'Romance']",English,6.3,2508,14.559,"Bridget Jones is becoming uncomfortable in her relationship with Mark Darcy. Apart from discovering that he's a conservative voter, she has to deal with a new boss, a strange contractor and the wo...",40000000,"['Miramax', 'Universal Pictures', 'Working Title Films', 'Atlantic Television', 'StudioCanal', 'Little Bird']",262500000,108,Same Bridget. Brand new diary.,222500000
7535,7535,8054,The Imaginarium of Doctor Parnassus,2009-10-01,"['Adventure', 'Fantasy', 'Mystery']",English,6.4,2505,14.559,A travelling theatre company has more to it than meets the eye. It is an imaginary world commanded by the mind of Doctor Parnassus and the audience is in for more than just a show.,30000000,"['Téléfilm Canada', 'Infinity Features Entertainment', 'Davis Films', 'The Movie Network', 'Canadian Film or Video Production Tax Credit (CPTC)', 'British Columbia Film', 'Province of British Colu...",64352607,123,The man who tried to cheat the devil.,34352607
7537,7537,10021,The Secret of My Success,1987-04-10,['Comedy'],English,6.4,540,14.557,"Brantley Foster, a well-educated kid from Kansas, has always dreamed of making it big in New York, but once in New York, he learns that jobs - and girls - are hard to get. When Brantley visits his...",12000000,"['Universal Pictures', 'Rastar Productions']",110996879,111,There's no such thing as an overnight success. Brantley Foster took two weeks.,98996879
7545,7545,148284,Robot,2010-10-01,"['Action', 'Science Fiction', 'Fantasy']",Tamil,6.6,184,14.549,"Dr. Vasi invents a super-powered robot, Chitti, in his own image. The scientific body, AIRD, that must approve the robot, declines it based on its not having emotions and the ability to make ratio...",26400000,['Sun Pictures'],62000000,155,"Love, hate, and betrayal between the creator and his creation the ROBOT",35600000
7548,7548,429471,Captive State,2019-03-15,"['Science Fiction', 'Action', 'Horror', 'Thriller']",English,5.6,1015,14.544,"Nearly a decade after occupation by an extraterrestrial force, the lives of a Chicago neighborhood on both sides of the conflict are explored. In a working-class Chicago neighborhood occupied by a...",25000000,"['Amblin Entertainment', 'Participant', 'DreamWorks Pictures', 'Lightfuse & Gettaway']",8808611,110,"10 years ago, they took our planet. Today, we take it back!",-16191389
7554,7554,118957,Bait,2012-09-05,"['Action', 'Horror', 'Thriller']",English,5.7,675,14.541,A freak tsunami traps shoppers at a coastal Australian supermarket inside the building ... along with a 12-foot great white shark.,30000000,"['Screen Queensland', 'Pictures in Paradise', 'Media Development Authority (MDA)', 'Bait Productions', 'Blackmagic Design Films', 'Story Bridge Films', 'Screen Australia']",32500000,93,A Tsunami Just Flipped The Foodchain.,2500000
7558,7558,140823,Saving Mr. Banks,2013-11-29,"['Comedy', 'Drama', 'History']",English,7.3,3062,14.538,"Author P.L. Travers looks back on her childhood while reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",35000000,"['Hopscotch Features', 'Walt Disney Pictures', 'Ruby Films', 'Essential Media and Entertainment', 'BBC Film']",112544580,125,"Where her book ended, their story began.",77544580
7559,7559,10985,The New Guy,2002-05-10,['Comedy'],English,5.9,496,14.538,"Nerdy high school senior Dizzy Harrison has finally gotten lucky -- after purposely getting expelled, he takes lessons in 'badass cool' from a convict and enrolls at a new school. But can he keep ...",13000000,"['Bedlam Pictures', 'Revolution Studios', 'Frontier Pictures']",31167388,88,A zero will rise.,18167388
7560,7560,8978,Assault on Precinct 13,2005-01-19,"['Thriller', 'Action', 'Adventure', 'Crime']",English,6.1,944,14.538,"On New Year's Eve, inside a police station that's about to be closed for good, officer Jake Roenick must cobble together a force made up cops and criminals to save themselves from a mob looking to...",30000000,"['Rogue Pictures', 'Why Not Productions', 'Liaison Films', 'Biscayne Pictures', 'Don Carmody Productions', 'Focus Features']",35294470,109,Unite and fight.,5294470
7563,7563,9666,Ju-on: The Grudge 2,2003-08-15,"['Horror', 'Thriller']",Japanese,6.3,268,14.534,"While driving, the pregnant horror-movie actress Kyôko Harase and her fiancé are in a car crash. She loses her baby and her fiancé winds up in a coma. Kyôko was cursed together with a television c...",20000000,"['Oz Company', 'Aozora Investments', 'Pioneer LDC', 'Nikkatsu Corporation', 'Xanadeux Company', 'Kadokawa Shoten', 'Tokyo Theatres Company']",70700000,92,NaN,50700000
7565,7565,2000,"Aguirre, the Wrath of God",1972-12-29,"['Adventure', 'Drama', 'History']",German,7.5,935,14.533,"A few decades after the destruction of the Inca Empire, a Spanish expedition led by the infamous Aguirre leaves the mountains of Peru and goes down the Amazon River in search of the lost city of E...",370000,"['Werner Herzog Filmproduktion', 'HR']",37041,95,A breathtaking journey into the heart of darkness.,-332959
7566,7566,16288,Creepshow 2,1987-05-01,"['Horror', 'Comedy']",English,6.2,480,14.532,"EC Comics-inspired weirdness returns with three tales. In the first, a wooden statue of a Native American comes to life to exact vengeance on the murderer of his elderly owners. In the second, fou...",3500000,"['New World Pictures', 'Laurel Entertainment']",14000000,92,"When the curtain goes up, the terror begins.",10500000
7568,7568,290,Barton Fink,1991-08-01,"['Comedy', 'Drama', 'Thriller', 'Mystery']",English,7.5,1460,14.531,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,9000000,"['Working Title Films', 'Circle Films', '20th Century Fox']",6153939,117,What's in his head,-2846061
7571,7571,12158,Vampire in Brooklyn,1995-10-26,"['Comedy', 'Horror', 'Romance']",English,5.0,495,14.524,"Detective Rita Veder is assigned to a baffling serial murder case. After examining the crime scene — a corpse-filled ship found adrift at sea — Rita meets Maximilian, a smooth-talking Caribbean pl...",14000000,['Paramount'],19800000,100,A comic tale of horror and seduction.,5800000
7574,7574,284293,Still Alice,2014-12-05,['Drama'],English,7.5,2827,14.521,"Alice Howland, happily married with three grown children, is a renowned linguistics professor who starts to forget words. When she receives a devastating diagnosis, Alice and her family find their...",5000000,"['Shriver Films', 'Killer Films', 'Big Indie Pictures', 'BSM Studio', 'Lutzus-Brown', 'Backup Media', 'Sony Pictures Classics']",43884652,100,Live in the moment.,38884652
7575,7575,19698,Porky's II: The Next Day,1983-06-24,['Comedy'],English,5.7,267,14.521,"When the students of Angel Beach High decide to stage ""An Evening With Shakespeare,"" their efforts are threatened by Miss Balbricker, who views the works of Shakespeare as obscene. She enlists the...",6500000,"['Simon Reeves Landsburg Productions', '20th Century Fox']",33759266,98,"If you thought the night before was funny, wait till you see the next day.",27259266
7576,7576,227156,The Giver,2014-08-13,"['Drama', 'Science Fiction']",English,6.6,4174,14.518,"In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.",25000000,"['The Weinstein Company', 'Asis Productions', 'Tonik Productions', 'Walden Media', 'Yucaipa Films']",66980456,97,Search for truth. Find freedom.,41980456
7580,7580,716612,Spencer,2021-11-04,['Drama'],English,6.9,1423,14.511,"During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana decides to leave her marriage to Prince Charles.",18000000,"['FilmNation Entertainment', 'Komplizen Film', 'Shoebox Films', 'Fabula', 'Fabula']",14000000,117,Every fairy tale ends.,-4000000
7581,7581,37347,Fort Apache,1948-06-14,['Western'],English,7.0,301,14.509,"Owen Thursday sees his new posting to the desolate Fort Apache as a chance to claim the military honour which he believes is rightfully his. Arrogant, obsessed with military form and ultimately se...",2500000,['RKO Radio Pictures'],3000000,125,John Ford's Masterpiece of the Frontier!,500000
7584,7584,28942,The Brood,1979-05-25,"['Horror', 'Science Fiction']",English,6.7,598,14.506,"A man tries to uncover an unconventional psychologist's therapy techniques on his institutionalized wife, while a series of brutal attacks committed by a brood of mutant children coincides with th...",1355000,"['Canadian Film Development Corporation (CFDC)', 'Elgin International Films', 'Victor Solnicki Productions', 'New World Pictures']",5000000,92,The Ultimate Experience in Inner Terror.,3645000
7585,7585,10934,Under the Tuscan Sun,2003-09-20,"['Romance', 'Comedy']",English,6.8,740,14.505,"After a rough divorce, Frances, a 35 year old book editor from San Francisco takes a tour of Tuscany at the urgings of her friends. On a whim she buys Bramasole, a run down villa in the Tuscan cou...",18000000,"['Tatiale Films', 'Touchstone Pictures', 'Timnick Films', 'Blue Gardenia Productions']",58878723,113,Life offers you a thousand chances ... all you have to do is take one.,40878723
7590,7590,10564,Where the Heart Is,2000-04-27,"['Comedy', 'Drama', 'Romance']",English,7.1,625,14.504,"Novalee Nation is a 17-year-old Tennessee transient who has to grow up in a hurry when she's left pregnant and abandoned by her boyfriend on a roadside, and takes refuge in the friendly aisles of ...",15000000,"['Wind Dancer Films', '20th Century Fox']",33771174,120,Laughter is harder... Friendship is stronger... Trust is deeper... When it comes from the heart.,18771174
7594,7594,9281,Witness,1985-02-08,"['Crime', 'Drama', 'Romance', 'Thriller']",English,7.1,1399,14.498,"A sheltered Amish child is the sole witness of a brutal murder in a restroom at a Philadelphia train station, and he must be protected.  The assignment falls to a taciturn detective who goes under...",12000000,['Paramount'],68706993,112,A big city cop. A small country boy. They have nothing in common... but a murder.,56706993
7599,7599,538207,We Die Young,2019-05-09,"['Drama', 'Action', 'Crime', 'Thriller']",English,6.8,263,14.493,"Lucas, a 14-year-old boy inducted into the gang life in Washington D.C., is determined that his 10-year-old brother won't follow the same path. When an Afghanistan war veteran comes into the neigh...",4000000,"['Dream Team Films', 'Premiere Picture', 'Signature Pictures', 'Dog with a Bone Productions', 'Zone Vision']",143837,93,Every Life Is Worth Saving.,-3856163
7602,7602,9012,Jackass: The Movie,2002-10-25,"['Comedy', 'Documentary']",English,6.3,1386,14.491,"Johnny Knoxville and his band of maniacs perform a variety of stunts and gross-out gags on the big screen for the first time. They wander around Japan in panda outfits, wreak havoc on a once civil...",5000000,"['Lynch Siderow Productions', 'Dickhouse Productions', 'Paramount', 'MTV Films']",64282312,88,Do not attempt this at home.,59282312
7603,7603,15384,Red Cliff II,2009-01-07,"['Action', 'Adventure', 'Drama', 'History', 'War']",Chinese,7.3,388,14.490,"The battle of Red Cliff continues and the alliance between Xu and East Wu is fracturing.  With Cao Cao's massive forces on their doorstep, will the kingdoms of Xu and East Wu survive?",80000000,"['Showbox', 'Lion Rock Productions', 'Emperor Multimedia Group (EMG)', 'Avex Group', 'Shanghai Film Group', 'CMC Entertainment', 'Beijing Film Studio', 'China Film Group Corporation', 'Vie Vision ...",121059225,141,Destiny Lies In The Wind.,41059225
7604,7604,184098,Think Like a Man Too,2014-06-20,"['Comedy', 'Romance']",English,6.5,510,14.488,"All the couples are back for a wedding in Las Vegas, but plans for a romantic weekend go awry when their various misadventures get them into some compromising situations that threaten to derail th...",24000000,['Will Packer Productions'],70181428,105,NaN,46181428
7606,7606,16520,The King and I,1956-06-29,"['Drama', 'Romance', 'Adventure', 'Music']",English,7.2,327,14.486,Widowed Welsh mother Anna Loenowens becomes a governess and English tutor to the wives and many children of the stubborn King Mongkut of Siam. Anna and the King have a clash of personalities as sh...,4550000,['20th Century Fox'],21300000,133,More than your eyes have ever seen… More than your heart has ever known!,16750000
7607,7607,12593,Fritz the Cat,1972-04-12,"['Animation', 'Comedy', 'Drama']",English,6.1,272,14.482,"A swinging, hypocritical college student cat raises hell in a satirical vision of the 1960s.",850000,"['Cinemation Industries', 'Steve Krantz Productions', 'Black Ink Films', 'Aurica Finance Company', 'Fritz Productions', 'Metro-Goldwyn-Mayer']",25000000,78,"We're not rated X for nothin', baby!",24150000
7608,7608,8346,My Big Fat Greek Wedding,2002-02-22,"['Comedy', 'Drama', 'Romance']",English,6.5,1906,14.481,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.,5000000,"['Ontario Film Development Corporation', 'Gold Circle Films', 'HBO', 'MPH Entertainment Productions', 'Playtone']",368744044,95,Love is here to stay... so is her family.,363744044
7626,7626,32909,Mulan: Rise of a Warrior,2009-11-26,"['Adventure', 'Drama', 'Action']",Chinese,7.4,383,14.466,"When barbarian hordes threaten her homeland, the brave and cunning Mulan disguises herself as a male soldier to swell the ranks in her aging father's stead. The warrior's remarkable courage drives...",12000000,"['Starlight International Media', 'Shanghai Film Group', 'Bona Film Group', 'TIK Films', 'Beijing Gallop Horse Film & TV Production']",13380561,115,Warrior. Princess. Legend.,1380561
7629,7629,87093,Big Eyes,2014-12-24,['Drama'],English,7.0,3244,14.463,"In the late 1950s and early '60s, artist Walter Keane achieves unbelievable fame and success with portraits of saucer-eyed waifs. However, no one realizes that his wife, Margaret, is the real pain...",10000000,"['The Weinstein Company', 'Silverwood Films', 'Electric City Entertainment', 'Tim Burton Productions']",28883511,106,She created it. He sold it. And everyone bought it.,18883511
7631,7631,10774,Network,1976-11-14,['Drama'],English,7.8,1468,14.459,"When veteran anchorman Howard Beale is forced to retire his 25-year post because of his age, he announces to viewers that he will kill himself during his farewell broadcast. Network executives ret...",3800000,"['United Artists', 'Metro-Goldwyn-Mayer']",23689877,122,Television will never be the same.,19889877
7632,7632,10861,Maximum Risk,1996-09-13,"['Action', 'Thriller']",English,5.6,403,14.458,Alain Moreau's investigation into the death of his identical twin brother leads him from the beauty of the south of France to the mean streets of New York City and into the arms of his brother's b...,25000000,"['Columbia Pictures', 'Roger Birnbaum Productions', 'Moshe Diamant Production']",51702483,100,The other side of safe.,26702483
7633,7633,10731,The Client,1994-07-20,"['Drama', 'Thriller', 'Crime', 'Mystery']",English,6.7,968,14.458,"A street-wise kid, Mark Sway, sees the suicide of Jerome Clifford, a prominent Louisiana lawyer, whose current client is Barry 'The Blade' Muldano, a Mafia hit-man. Before Jerome shoots himself, h...",45000000,"['Alcor Films', 'Regency Enterprises', 'Warner Bros. Pictures']",117615211,119,A district attorney out for a conviction. A new lawyer out of her league. A young boy who knew too much.,72615211
7634,7634,4978,An American Tail,1986-11-21,"['Drama', 'Family', 'Animation', 'Adventure']",English,6.7,1184,14.457,"A young mouse named Fievel and his family decide to migrate to America, a ""land without cats,"" at the turn of the 20th century. But somehow, Fievel ends up in the New World alone and must fend off...",9000000,"['Amblin Entertainment', 'Universal Pictures', 'Sullivan Bluth Studios']",84542002,80,"Meet Fievel. In his search to find his family, he discovered America.",75542002
7635,7635,246741,What We Do in the Shadows,2014-06-19,"['Comedy', 'Horror']",English,7.6,3155,14.455,Vampire housemates try to cope with the complexities of modern life and show a newly turned hipster some of the perks of being undead.,1600000,"['Unison Films', 'Defender Films', 'Funny or Die', 'New Zealand Film Commission', 'Resnick Interactive Development']",6263224,86,Some interviews with some vampires.,4663224
7636,7636,37861,Valhalla Rising,2009-09-04,"['Adventure', 'Drama', 'Action', 'Fantasy']",English,6.1,1079,14.453,"Scandinavia, 1,000 AD. For years, One Eye, a mute warrior of supernatural strength, has been held prisoner by the Norse chieftain Barde. Aided by Are, a boy slave, One Eye slays his captor and tog...",5641880,"['BBC Film', 'La Belle Allee Productions', 'NWR Film Productions', 'One Eye Production', 'Savalas Audio Post-Production', 'Nimbus Film']",30638,93,NaN,-5611242
7637,7637,210479,Locke,2014-04-10,"['Drama', 'Thriller']",English,6.9,2427,14.452,"Ivan Locke has worked hard to craft a good life for himself. Tonight, that life will collapse around him. On the eve of the biggest challenge of his career, Ivan receives a phone call that sets in...",2000000,"['IM Global', 'Shoebox Films']",4635300,85,No turning back.,2635300
7638,7638,10306,Poltergeist III,1988-06-10,"['Horror', 'Thriller']",English,5.2,410,14.450,"Carol Anne has been sent to live with her Aunt and Uncle in an effort to hide her from the clutches of the ghostly Reverend Kane, but he tracks her down and terrorises her in her relatives' appart...",10500000,['Metro-Goldwyn-Mayer'],14144000,98,He's found her.,3644000
7639,7639,2155,Reindeer Games,2000-02-25,"['Thriller', 'Action', 'Crime', 'Drama']",English,5.6,558,14.446,"After assuming his dead cellmate's identity to get with his girlfriend, an ex-con finds himself the reluctant participant in a casino heist.",42000000,"['Dimension Films', 'Marty Katz Productions']",32168970,124,The trap is set. The game is on.,-9831030
7643,7643,12262,The Hills Have Eyes,1977-07-22,"['Horror', 'Thriller']",English,6.2,747,14.439,"On the way to California, a family has the misfortune to have their car break down in an area closed to the public, and inhabited by violent savages ready to attack.",230000,['Blood Relations Co.'],25000000,90,A nice American family. They didn't want to kill. But they didn't want to die.,24770000
7646,7646,23742,Cop Out,2010-02-26,"['Action', 'Comedy', 'Crime']",English,5.6,1355,14.435,"Detectives Jimmy and Paul, despite nine years as partners, can still sometimes seem like polar opposites—especially when Paul's unpredictable antics get them suspended without pay. Already strappe...",30000000,['Marc Platt Productions'],55583804,107,Rock out with your Glock out,25583804
7648,7648,13567,Sleepaway Camp,1983-11-18,['Horror'],English,6.3,558,14.433,"Slightly disturbed and painfully shy Angela Baker is sent away to summer camp with her cousin. Not long after Angela's arrival, things start to go horribly wrong for anyone with sinister or less t...",350000,"['American Eagle', 'U.S. Films']",11000000,85,…you won't be coming home!,10650000
7650,7650,11615,The Life of David Gale,2003-02-21,"['Drama', 'Thriller', 'Crime']",English,7.4,1807,14.430,A man against capital punishment is accused of murdering a fellow activist and is sent to death row.,50000000,"['Mikona Productions GmbH & Co. KG', 'Universal Pictures', 'Intermedia Films', 'Saturn Films', 'Dirty Hands Productions']",38955598,130,The crime is clear. The truth is not.,-11044402
7653,7653,319888,Eddie the Eagle,2016-02-25,"['Comedy', 'Drama', 'History', 'Adventure']",English,7.2,1935,14.428,"The feel-good story of Michael 'Eddie' Edwards, an unlikely but courageous British ski-jumper who never stopped believing in himself—even as an entire nation was counting him out. With the help of...",23000000,"['Studio Babelsberg', 'Marv Films', 'Saville Productions']",46152411,106,"Win or lose, always aim high.",23152411
7655,7655,10766,Damien: Omen II,1978-06-09,"['Horror', 'Thriller']",English,6.4,578,14.427,"Since the sudden and highly suspicious death of his parents, 12-year-old Damien has been in the charge of his wealthy aunt and uncle. Widely feared to be the Antichrist, Damien relentlessly plots ...",6800000,"['Mace Neufeld Productions', '20th Century Fox']",26518355,107,The first time was only a warning.,19718355
7657,7657,31867,Repo Men,2010-03-18,"['Action', 'Science Fiction', 'Thriller', 'Crime']",English,6.3,1722,14.424,"In the future, medical technology has advanced to the point where people can buy artificial organs to extend their lives. But if they default on payments, an organization known as the Union sends ...",32000000,"['Relativity Media', 'Stuber Productions', 'Universal Pictures', 'dentsu']",18409891,111,"For a price, any organ in your body can be replaced. But it can also be repossessed.",-13590109
7663,7663,11371,The Score,2001-07-13,"['Action', 'Crime', 'Thriller', 'Mystery']",English,6.7,1439,14.420,An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist.,68000000,"['Horseshoe Bay Productions', 'Paramount', 'Mandalay Pictures', 'Lions Gate Films', 'StudioCanal', 'CP Medien AG', 'MP Film Management', 'Summit Entertainment']",113579918,124,There are no partners in crime.,45579918
7665,7665,10437,The Muppet Christmas Carol,1992-12-10,"['Music', 'Comedy', 'Family', 'Fantasy', 'Drama']",English,7.4,802,14.419,"A retelling of the classic Dickens tale of Ebenezer Scrooge, miser extraordinaire. He is held accountable for his dastardly ways during night-time visitations by the Ghosts of Christmas Past, Pres...",12000000,"['Walt Disney Pictures', 'Jim Henson Productions', 'The Jim Henson Company']",27281507,85,NaN,15281507
7666,7666,152742,The Best Offer,2013-01-01,"['Drama', 'Romance', 'Crime']",English,7.8,2599,14.418,"Virgil Oldman is a world renowned antiques expert and auctioneer. An eccentric genius, he leads a solitary life, going to extreme lengths to keep his distance from the messiness of human relations...",13500000,"['Regione Lazio', 'PACO Cinematografica', 'Business Location Sudtirol Alto Adige', 'Friuli Venezia Giulia Film Commission', 'UniCredit Group']",19255873,131,A Master of Possession. A Crime of Obsession,5755873
7667,7667,24803,Julie & Julia,2009-08-06,"['Romance', 'Drama']",English,6.7,1893,14.417,"Julia Child and Julie Powell – both of whom wrote memoirs – find their lives intertwined. Though separated by time and space, both women are at loose ends... until they discover that with the righ...",40000000,"['Columbia Pictures', 'Easy There Tiger Productions', 'Scott Rudin Productions']",129540499,123,Based on Two True Stories.,89540499
7671,7671,11644,Blow Out,1981-07-24,"['Crime', 'Drama', 'Mystery', 'Thriller']",English,7.3,1190,14.414,"Jack Terry is a master sound recordist who works on grade-B horror movies. Late one evening, he is recording sounds for use in his movies when he hears something unexpected through his sound equip...",18000000,"['Cinema 77', 'Filmways Pictures']",12000000,108,Murder has a sound all of its own!,-6000000
7673,7673,27324,Pulse,2001-02-03,"['Horror', 'Thriller', 'Mystery']",Japanese,6.5,392,14.412,"In the immense city of Tokyo, the darkness of the afterlife lurks some of its inhabitants who are desperately trying to escape the sadness and isolation of the modern world.",25000000,"['Daiei Film', 'Nippon Television Network Corporation', 'Hakuhodo', 'IMAGICA']",318451,119,Do you want to meet a ghost?,-24681549
7674,7674,11085,Mutiny on the Bounty,1962-11-08,"['Adventure', 'Drama', 'History']",English,7.0,252,14.412,"The Bounty leaves Portsmouth in 1787. Its destination: to sail to Tahiti and load bread-fruit. Captain Bligh will do anything to get there as fast as possible, using any means to keep up a strict ...",19000000,"['Arcola Pictures', 'Metro-Goldwyn-Mayer']",13680000,185,The mightiest excitement that ever swept across the sea or the screen!,-5320000
7677,7677,173,"20,000 Leagues Under the Sea",1954-12-23,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Science Fiction', 'Action']",English,7.1,747,14.406,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",5000000,['Walt Disney Productions'],28200000,127,The mightiest motion picture of them all!,23200000
7678,7678,567646,Extreme Job,2019-01-23,"['Action', 'Comedy', 'Crime']",Korean,7.0,219,14.404,"A drug squad attempts to take down a criminal organization and they must go undercover to do so, so they begin working at a chicken restaurant, that becomes famous for its delicious chicken. Due t...",8120000,"['CJ Entertainment', 'about Film', 'Haegrimm Pictures']",124652206,111,"Part-time frying chicken, full-time undercover.",116532206
7681,7681,11191,Mystic Pizza,1988-10-13,"['Comedy', 'Drama', 'Romance']",English,6.3,434,14.398,"Three teenage girls come of age while working at a pizza parlor in Mystic, Connecticut.",6000000,"['Night Light Films', 'Samuel Goldwyn Company']",12793213,104,A romantic comedy with the works.,6793213
